series,axis_cells,regions,ranks,mode,stage,samples,seconds_max_rank_median,seconds_max_rank_min,seconds_max_rank_max,peak_rss_bytes_max_rank_median,peak_rss_bytes_max_rank_min,peak_rss_bytes_max_rank_max,measured_mesh_bytes_max_rank_median,measured_mesh_bytes_max_rank_min,measured_mesh_bytes_max_rank_max,compatibility_bytes_max_rank_median,compatibility_bytes_max_rank_min,compatibility_bytes_max_rank_max,ghost_owned_ratio_max_rank_median,ghost_owned_ratio_max_rank_min,ghost_owned_ratio_max_rank_max
main,32,2,1,composite,execution_view_setup,1,2.66e-07,2.66e-07,2.66e-07,50520064,50520064,50520064,34048,34048,34048,0,0,0,0,0,0
main,32,2,1,composite,native_region_traversal_average,1,0.0022092438,0.0022092438,0.0022092438,50520064,50520064,50520064,34048,34048,34048,0,0,0,0,0,0
main,32,2,1,composite,output,1,0.064566409,0.064566409,0.064566409,68182016,68182016,68182016,34048,34048,34048,0,0,0,0,0,0
main,32,2,1,composite,solve_including_preconditioner,1,0.024201589,0.024201589,0.024201589,61497344,61497344,61497344,34048,34048,34048,0,0,0,0,0,0
main,32,2,1,composite,traversal_average,1,0.082947057,0.082947057,0.082947057,50520064,50520064,50520064,34048,34048,34048,0,0,0,0,0,0
main,32,2,1,flattened,application_average,1,0.0001073478,0.0001073478,0.0001073478,97968128,97968128,97968128,25415368,25415368,25415368,0,0,0,0,0,0
main,32,2,1,flattened,assembly,1,0.031197048,0.031197048,0.031197048,97574912,97574912,97574912,25415368,25415368,25415368,0,0,0,0,0,0
main,32,2,1,flattened,construction,1,0.078427396,0.078427396,0.078427396,91381760,91381760,91381760,25415368,25415368,25415368,0,0,0,0,0,0
main,32,2,1,flattened,execution_view_setup,1,2.6e-07,2.6e-07,2.6e-07,91381760,91381760,91381760,25415368,25415368,25415368,0,0,0,0,0,0
main,32,2,1,flattened,output,1,0.053864839,0.053864839,0.053864839,102543360,102543360,102543360,25415368,25415368,25415368,0,0,0,0,0,0
main,32,2,1,flattened,solve_including_preconditioner,1,0.023677985,0.023677985,0.023677985,100446208,100446208,100446208,25415368,25415368,25415368,0,0,0,0,0,0
main,32,2,1,flattened,traversal_average,1,0.005532802,0.005532802,0.005532802,91381760,91381760,91381760,25415368,25415368,25415368,0,0,0,0,0,0
main,32,2,1,materialized,application_average,1,0.000171624,0.000171624,0.000171624,100265984,100265984,100265984,5190712,5190712,5190712,1048584,1048584,1048584,0,0,0
main,32,2,1,materialized,assembly,1,0.384053688,0.384053688,0.384053688,100003840,100003840,100003840,5190712,5190712,5190712,1048584,1048584,1048584,0,0,0
